year,as_of,creator,metric,niche,geo,low,high,point,currency,unit,period,views,revenue,basis,publisher,source_url,locator,notes
2024,2025-01-04,Brick Experiment Channel,rpm,entertainment,unknown,,,0.51,USD,per_1000_views,2024 calendar year,198000000.0,102000.0,creator_report,Brick Experiment Channel (WordPress blog),https://brickexperimentchannel.wordpress.com/2025/01/04/year-2024/,In 2024 RPM was only 0.51 USD,third straight annual decline; author attributes it to YouTube Kids views
2024,2024-10-28,Philomatics,production_hours_per_min,education,unknown,5.0,10.0,,USD,hours_per_finished_minute,total hours per finished minute (own),,,creator_report,Philomatics (DEV Community post),https://dev.to/philomatics/building-a-programming-youtube-channel-from-0-to-1-million-views-and-30k-subs-in-under-6-months-with-no-prior-audience-1p6m,about 5-10 hours total time per minute of video content,solo; first 4-min video took ~30 h
2024,2024-10,Tiago Forte,production_cost,education,unknown,5094.0,11146.0,,USD,usd_per_video,"all-in production cost per video, team (own)",,,creator_report,Forte Labs (blog),https://fortelabs.com/blog/the-road-to-300000-subscribers-a-youtube-retrospective/,"cut the average cost per video by more than half, from $11,146 to $5,094","TEAM all-in cost, not freelance edit; Startup era 11,146 -> Factory era 5,094"
2024,2024-12-10,Jay Clouse,sponsor_fee,business,unknown,,,3000.0,USD,usd_per_video,YouTube integration (own rate) ~111K subs,,,creator_report,Creator Science podcast (own site),https://podcast.creatorscience.com/answering-scary-questions/,"our videos go for, typically about $3,000 per video",bulk/cross-property discounts; ~5M lifetime views
