year,as_of,creator,metric,niche,geo,low,high,point,currency,unit,period,views,revenue,basis,publisher,source_url,locator,notes
2025,2026-01-02,Brick Experiment Channel,rpm,entertainment,unknown,,,0.52,USD,per_1000_views,2025 calendar year (long-form),,124000.0,creator_report,Brick Experiment Channel (WordPress blog),https://brickexperimentchannel.wordpress.com/2026/01/02/year-2025-in-review/,The RPM on videos was 0.52 USD,long-form only; Shorts reported separately
2025,2026-01-02,Brick Experiment Channel,shorts_rpm,entertainment,unknown,,,0.06,USD,per_1000_views,2025 calendar year (Shorts),1090000000.0,66000.0,creator_report,Brick Experiment Channel (WordPress blog),https://brickexperimentchannel.wordpress.com/2026/01/02/year-2025-in-review/,compare earnings (66000 USD) to public Shorts views (1090 million),per public view count; Analytics engaged-view RPM was 0.11 which the author calls inflated
