video_id,category,days_observed,first_age_days,first_daily_views,last_views,half_life_days
wQFsKrYLd10,people_blogs,7,6.29,4735,155058,4.609
wQZ95eZQtBE,entertainment,4,2.46,19013,219805,3.805
wRNYoWFjmEc,people_blogs,6,1.14,1443629,4024771,1.274
wSwewlSkIXU,music,6,1.79,170372,1023627,33.698
wT_yPn3LfNA,people_blogs,16,1.12,783712,2477879,3.593
wV7RsaTY228,education,6,1.5,218952,631374,0.845
wW4JB9tjlik,entertainment,10,1.24,430225,1368300,1.591
w_b63zETbSs,entertainment,4,1.75,13380,54208,1.233
wa5eXqjEewE,news,9,8.17,12369,783712,22.635
wa9ZyarpM2U,entertainment,7,2.17,279579,1584020,2.193
wb49-oV0F78,film,8,0.99,7307025,15852974,1.615
wbSwFU6tY1c,science_tech,9,1.12,4230503,20658640,1.704
wbxblKFtGCg,music,13,1.22,181178,1045195,12.055
wc4v9uT6GWc,news,6,1.28,7516,24715,0.815
wcy08U4FC-Y,people_blogs,5,3.25,4505,76054,1.552
wd8h1iND_ys,science_tech,5,1.27,90232,406438,0.901
we5djgQwK9w,howto,17,1.38,937876,3512872,3.711
we_Cs4Q0P2A,people_blogs,6,2.71,8989,107120,6.741
weebcQPRGUE,pets,5,8.12,6495,164817,4.071
wextSFa6rmI,comedy,4,2.25,14408,94640,7.37
wfWIs2gFTAM,music,9,1.37,3736405,32730338,115.668
wgW2z_wXyOA,entertainment,5,13.06,14091,876320,
whwUlzuLfs4,music,15,2.42,122635,901063,2.675
wjOK-U2GhIs,howto,7,2.12,148992,1285332,1.896
wjj2upnfBI0,music,17,1.24,466964,3785623,23.604
wowAOdTYqw8,music,12,2.62,449997,6345613,16.649
wqEknnPadMA,entertainment,11,1.33,64262,306922,2.854
wrPEjEqURJg,education,5,3.33,13407,240955,3.168
wrpeEitIEpA,film,6,1.29,588546,1915926,1.525
wuEKwkTqdw4,news,6,1.79,6621,25203,0.738
wwX-RSqxEXc,entertainment,4,2.15,1972,28679,3.01
wx-M8sxcOp8,sports,6,1.79,187133,1462885,1.848
wylMwU1wEOM,music,15,4.42,751407,19150418,
wzKL-bQKcgA,comedy,6,1.23,3415080,17758014,16.649
x1l-HRvwnB4,people_blogs,10,8.37,16608,509583,
x2KAYep8FwI,entertainment,15,2.17,178083,2211297,3.754
x2u-KEex34A,sports,4,2.03,69462,509173,3.716
x3zQELlrY6A,people_blogs,4,2.37,527985,5213752,1.432
x4TZEVqKIvs,film,8,1.16,1434379,5986604,2.524
x7sagGvoRI0,science_tech,6,2.15,827,10194,3.14
x9e_8zRuuO8,music,11,2.18,25240,229374,3.167
xArN1yUcXXc,entertainment,5,1.25,94487,189308,0.775
xBiB4CIq9FE,howto,9,2.08,244998,2371234,2.822
xDsMX18qSfE,education,6,1.45,128907,400413,1.878
xF99M6Zilac,howto,8,2.17,719149,5452904,2.289
xGCnZ-9dPc0,science_tech,8,6.31,23231,301028,3.671
xGcrvGTMgkg,comedy,7,2.76,86125,179803,1.667
xGz_FZ0ePwE,music,6,1.33,510870,1244459,1.472
xIbQZpwVweE,people_blogs,5,1.82,75443,294356,1.147
xJrOUJpCxOE,comedy,4,3.23,393993,7418792,4.217
xL_qpDkF5A8,entertainment,5,0.94,221090,485303,1.488
xLkHEZTSeoU,howto,4,1.33,745051,3129042,1.424
xLtYmhj-0Kg,entertainment,8,2.29,715495,4266983,2.95
xNGFSEcRSZI,entertainment,4,2.68,48003,477381,0.985
xPsEiZAOb_I,entertainment,4,2.29,49967,296755,0.978
xTlNMmZKwpA,music,15,1.41,12496133,94254507,15.573
xVU8nEIsapY,comedy,16,2.27,140240,1165987,3.321
xXf2ct7C2fQ,entertainment,10,3.37,293636,1434219,2.878
xYtsL9znopI,music,9,1.42,1148740,6010383,11.471
xZNBFcwd7zc,film,9,1.41,5804611,19434177,1.944
x_IG4DeedB4,entertainment,7,1.5,120345,269804,1.228
x_joMJBrT34,comedy,15,1.3,786209,3644362,3.303
xe5tXZs-iWw,science_tech,15,2.39,126208,982180,3.574
xe8Id7pDNOM,science_tech,6,1.42,64182,322376,1.568
xegUPsJaUKc,people_blogs,5,1.25,24757,113748,1.168
xf-dywd3zx0,entertainment,12,1.49,389948,3132248,3.828
xf4iv4ic70M,howto,11,1.36,134346,537376,2.526
xfdUIY8rEmA,entertainment,11,1.33,265007,995670,1.85
xffS8n-M0Jg,comedy,12,1.98,199920,1685537,2.876
xi8u9DcC0_Q,comedy,5,2.29,50959,356481,2.324
xlQLyAOQXjQ,howto,4,3.25,86362,1050880,1.774
xp0m08eOD5U,music,5,1.37,60600,200958,2.783
xptpXSTtgSY,education,7,2.37,39936,304648,1.68
xqj7XOv9mC8,film,5,5.31,7714,1516213,3.354
xrMfUeOPWto,comedy,19,1.33,226585,1312364,6.065
xsqInns6LXQ,entertainment,6,2.18,967058,4399506,2.205
